"","Bed","TV","Shy","HrdClm","MClose","MLeave","CID","Male","MEd","Math98","RComp98","Alc12","Cprob1","Cprob2","Cprob3","Class","class1","class2","class3"
"47",1,1,0,0,1,0,113202,0,12,107,77,5,0.969,0.001,0.03,1,1,0,0
"48",0,0,1,0,0,0,116002,0,14,65,65,1,0,0.004,0.996,3,0,0,1
"49",1,0,1,1,1,1,117701,1,16,128,113,5,0,1,0,2,0,1,0
"50",1,1,1,1,1,0,117902,1,12,107,87,5,0.885,0.046,0.068,1,1,0,0
"51",1,1,0,0,1,0,118102,1,13,119,104,8,0.969,0.001,0.03,1,1,0,0
"52",1,1,1,1,0,0,119902,1,9,65,NA,NA,0.912,0.002,0.086,1,1,0,0
"53",0,0,1,0,1,0,120001,1,14,NA,NA,4,0,0.116,0.884,3,0,0,1
"54",1,0,1,1,1,1,121004,0,8,91,93,7,0,1,0,2,0,1,0
"55",0,0,1,1,1,0,121604,0,9,97,92,6,0,0.49,0.51,3,0,0,1
"56",0,0,1,1,1,1,122002,1,12,103,86,3,0,1,0,2,0,1,0
"57",1,1,1,0,1,0,125803,0,14,128,121,7,0.963,0.003,0.034,1,1,0,0
"58",1,0,1,0,1,0,127903,1,15,110,102,7,0,0.089,0.911,3,0,0,1
"59",1,1,0,0,1,0,128601,1,15,92,90,2,0.969,0.001,0.03,1,1,0,0
"60",0,1,1,1,1,1,129501,1,9,80,92,NA,0.024,0.976,0,2,0,1,0
"61",0,0,1,1,0,1,129602,1,12,102,69,NA,0,1,0,2,0,1,0
"62",1,1,1,0,0,0,132402,0,15,77,81,7,0.959,0,0.041,1,1,0,0
"63",1,1,0,1,1,0,136001,0,12,83,82,7,0.922,0.016,0.063,1,1,0,0
"64",1,1,1,0,1,0,138901,0,16,104,114,6,0.963,0.003,0.034,1,1,0,0
"65",0,0,0,1,1,1,143502,1,12,92,101,NA,0,1,0,2,0,1,0
"66",1,1,1,1,1,0,151702,0,12,75,92,NA,0.885,0.046,0.068,1,1,0,0
"67",0,1,0,1,0,0,154904,1,12,90,85,NA,0.221,0.008,0.771,3,0,0,1
"68",0,1,0,0,0,0,155301,0,12,118,116,5,0.386,0.001,0.614,3,0,0,1
"69",1,1,0,1,0,0,157102,0,12,87,92,NA,0.922,0.001,0.077,1,1,0,0
"70",1,1,0,0,0,0,160502,0,12,NA,NA,NA,0.963,0,0.037,1,1,0,0
"71",1,1,1,0,1,0,162902,1,12,94,113,8,0.963,0.003,0.034,1,1,0,0
"72",1,1,0,0,0,0,164002,1,12,113,93,NA,0.963,0,0.037,1,1,0,0
"73",0,1,1,1,1,1,165502,0,14,99,94,5,0.024,0.976,0,2,0,1,0
